사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차
Nov-23,2호선,225,방배,8,0,"2,663","2,760","9,467","12,417","23,507","27,763","33,489","77,197","26,262","60,057","20,082","35,448","21,790","27,967","23,288","28,456","26,670","27,191","30,498","25,891","34,577","25,745","41,919","27,763","53,002","33,870","66,695","39,095","30,547","27,851","25,321","17,591","24,662","16,890","19,838","16,316","7,764","9,219","1,735","2,981",12,109,0,0,0,0
Nov-23,2호선,226,사당,146,12,"12,293","4,291","27,692","36,306","78,212","50,751","102,554","71,647","78,416","52,494","51,166","44,508","45,324","53,697","50,319","54,845","54,255","51,254","58,270","51,561","61,306","63,156","66,409","86,016","80,143","126,446","99,816","175,601","69,526","122,495","67,225","71,074","74,300","64,873","68,767","62,175","38,100","37,427","6,533","11,634",48,814,0,0,0,0
Nov-23,2호선,227,낙성대(강감찬),37,1,"12,033","2,287","27,609","10,350","86,828","20,225","133,794","42,209","83,979","34,676","44,812","28,870","37,320","24,646","40,259","26,758","39,603","30,391","35,414","30,419","36,949","37,239","41,011","44,382","46,861","61,567","51,261","101,515","28,821","91,098","22,793","56,707","22,501","54,855","16,669","53,152","8,728","32,710","1,701","10,257",10,431,0,0,0,0
Nov-23,2호선,228,서울대입구(관악구청),"5,361",15,"28,748","2,654","44,886","14,092","133,086","28,345","177,695","71,499","122,297","65,579","70,413","55,323","60,323","44,704","66,075","49,279","67,167","55,497","61,294","55,206","67,100","65,444","73,731","77,961","86,544","107,809","93,598","173,278","53,860","146,872","46,995","88,002","47,546","83,872","42,701","79,229","23,698","49,819","4,382","18,328",12,"1,905",0,0,0,0
Nov-23,2호선,229,봉천,77,3,"16,199","1,740","29,657","7,379","87,278","13,499","127,339","26,792","77,387","20,546","43,972","18,993","33,243","22,072","35,531","23,110","34,668","25,525","31,722","28,594","28,419","37,141","32,269","42,783","31,660","58,203","31,509","88,889","18,924","77,998","15,712","47,157","13,402","43,598","10,658","40,300","4,861","25,103",937,"8,381",9,500,0,0,0,0
Nov-23,2호선,230,신림,249,7,"38,641","3,793","70,117","16,238","193,280","26,182","280,940","44,437","168,962","42,953","91,674","39,698","73,900","42,018","79,170","47,983","73,677","55,358","67,253","59,514","64,871","77,832","71,436","97,041","75,382","133,104","76,727","217,527","49,478","198,462","42,265","123,472","40,004","117,717","34,432","106,510","20,217","70,902","4,239","21,957",32,"1,154",1,1,0,0
Nov-23,2호선,231,신대방,225,0,"25,038","1,974","35,038","9,518","94,432","15,403","139,925","25,832","86,069","19,224","46,240","18,111","36,863","18,893","37,451","21,840","35,060","26,001","30,124","29,683","29,818","39,693","31,612","46,729","33,729","64,519","32,704","94,849","19,173","85,834","15,317","56,690","12,364","60,171","9,743","55,265","4,758","31,939",976,"9,217",9,512,0,0,0,0
Nov-23,2호선,232,구로디지털단지,321,15,"39,199","5,183","54,705","19,806","149,234","83,597","195,106","228,143","119,176","145,637","69,422","61,883","60,723","44,517","66,763","48,303","66,462","58,535","61,032","57,306","65,470","65,853","82,226","80,743","138,272","114,166","209,631","167,602","100,826","139,209","63,783","87,476","53,822","86,875","41,859","80,178","18,780","49,144","3,535","14,058",21,814,0,0,0,0
Nov-23,2호선,233,대림(구로구청),649,29,"34,598","3,362","29,663","9,976","68,137","22,776","97,662","55,954","63,229","37,197","40,287","32,068","34,576","34,425","36,505","32,517","35,597","33,895","32,664","34,680","35,198","41,875","39,007","50,916","45,180","62,437","51,103","69,161","25,770","53,709","18,556","39,897","14,642","48,148","10,252","44,437","5,174","22,876",707,"5,748",8,420,0,0,0,0
Nov-23,2호선,234,신도림,"3,997",21,"37,516","4,728","55,738","21,106","144,950","45,710","156,257","113,376","95,809","73,741","63,324","63,848","60,706","61,358","69,806","64,810","71,038","69,469","71,789","66,239","78,112","77,308","85,955","89,600","107,017","120,335","126,455","177,468","73,064","129,950","61,491","76,214","62,981","71,819","44,560","68,062","20,306","49,503","2,747","22,403",27,"2,283",0,0,0,0
